Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_0729,ND (below stat. threshold of conf.),-0.253,Uncharacterized protein,N/A,2.09E-02,6.02E-02,0.088709058,No,non-essential
Synpcc7942_0730,ND (below stat. threshold of conf.),-0.091,Uncharacterized protein,N/A,3.46E-01,5.00E-01,0.066690293,No,non-essential
Synpcc7942_0731,Negligable/minor,-0.163,Putative phage terminase large subunit,N/A,6.15E-04,3.14E-03,0.085136212,No,non-essential
Synpcc7942_0732,ND (below stat. threshold of conf.),0.120,Uncharacterized protein,N/A,3.91E-01,5.43E-01,0.39912403,No,non-essential
Synpcc7942_0733,Negligable/minor,-0.343,"Phage portal protein, lambda",N/A,3.81E-08,3.82E-07,0.219642064,No,non-essential
Synpcc7942_0734,Negligable/minor,-0.217,Uncharacterized protein,N/A,3.52E-06,2.66E-05,-0.16992217,No,non-essential
Synpcc7942_0735,ND (below stat. threshold of conf.),-0.165,Uncharacterized protein,N/A,2.63E-01,4.09E-01,0.085127274,No,non-essential
Synpcc7942_0736,ND (below stat. threshold of conf.),-0.039,Electron transfer protein,N/A,7.40E-01,8.24E-01,0.136530011,No,non-essential
Synpcc7942_0737,ND (below stat. threshold of conf.),-0.050,Uncharacterized protein,N/A,5.94E-01,7.18E-01,0.017418329,No,non-essential
Synpcc7942_0738,ND (below stat. threshold of conf.),-0.245,Phage baseplate assembly protein V,N/A,5.19E-03,1.86E-02,0.061656741,No,non-essential
Synpcc7942_0739,ND (below stat. threshold of conf.),-0.088,Uncharacterized protein,N/A,4.72E-01,6.15E-01,0.250222952,No,non-essential
Synpcc7942_0740,ND (below stat. threshold of conf.),-0.206,GPJ of phage P2-like,N/A,2.88E-03,1.16E-02,0.079056981,No,non-essential
Synpcc7942_0741,ND (below stat. threshold of conf.),0.028,Phage tail protein I,N/A,6.55E-01,7.61E-01,0.038193099,No,non-essential
Synpcc7942_0742,ND (below stat. threshold of conf.),-0.292,Uncharacterized protein,N/A,7.35E-03,2.54E-02,-0.286703764,No,non-essential
Synpcc7942_0743,Negligable/minor,-0.301,Uncharacterized protein,N/A,1.42E-10,1.81E-09,0.307120175,No,non-essential
Synpcc7942_0744,ND (below stat. threshold of conf.),-0.158,Uncharacterized protein,N/A,1.38E-02,4.27E-02,0.134408138,No,non-essential
Synpcc7942_0745,ND (below stat. threshold of conf.),-0.060,Uncharacterized protein,N/A,2.84E-01,4.32E-01,0.147357406,No,non-essential
Synpcc7942_0746,ND (below stat. threshold of conf.),-0.227,Uncharacterized protein,N/A,1.29E-02,4.04E-02,-0.008018372,No,non-essential
Synpcc7942_0747,ND (below stat. threshold of conf.),-0.120,Uncharacterized protein,N/A,6.53E-02,1.47E-01,0.085821459,No,non-essential
Synpcc7942_0748,ND (below stat. threshold of conf.),-0.190,Phage major tail tube protein,N/A,3.70E-02,9.36E-02,0.118887476,No,non-essential
Synpcc7942_0749,ND (below stat. threshold of conf.),-0.162,Uncharacterized protein,N/A,1.33E-01,2.52E-01,0.142589421,No,non-essential
Synpcc7942_0750,Negligable/minor,-0.238,"Phage tail tape measure protein TP901, core region",N/A,8.61E-08,8.14E-07,-0.026585495,No,non-essential
Synpcc7942_0751,ND (below stat. threshold of conf.),-0.161,Uncharacterized protein,N/A,8.71E-02,1.83E-01,-0.000677455,No,non-essential
Synpcc7942_0752,ND (below stat. threshold of conf.),-0.190,Uncharacterized protein,N/A,1.30E-01,2.48E-01,0.107208077,No,non-essential
Synpcc7942_0753,Negligable/minor,-0.190,Phage late control gene D protein GPD,N/A,1.71E-03,7.46E-03,-0.094763285,No,non-essential
Synpcc7942_0754,ND (below stat. threshold of conf.),0.056,Uncharacterized protein,N/A,6.88E-01,7.84E-01,0.117296496,No,non-essential
Synpcc7942_0755,ND (below stat. threshold of conf.),-0.232,Uncharacterized protein,N/A,6.37E-03,2.24E-02,0.217154044,No,non-essential
Synpcc7942_0756,ND (below stat. threshold of conf.),-0.244,"Chain A, D20c mutant of T4 lysozyme",N/A,3.06E-02,8.16E-02,-0.034022321,No,non-essential
Synpcc7942_0757,ND (below stat. threshold of conf.),0.035,Uncharacterized protein,N/A,8.91E-01,9.31E-01,0.047128716,No,non-essential
Synpcc7942_0758,Not analyzed,,hypothetical protein,N/A,,,-0.109344431,No,essential
Synpcc7942_0759,Not analyzed,,hypothetical protein,N/A,,,-0.266793232,No,essential
Synpcc7942_0760,Not analyzed,,hypothetical protein,N/A,,,-0.243715281,No,non-essential
Synpcc7942_0761,ND (below stat. threshold of conf.),-0.594,Uncharacterized protein,N/A,5.74E-02,1.34E-01,-0.256400407,No,non-essential
Synpcc7942_0762,Not analyzed,,hypothetical protein,N/A,,,-0.224112763,No,essential
Synpcc7942_0763,ND (below stat. threshold of conf.),-0.003,"Transcriptional regulator, XRE family",N/A,9.85E-01,9.89E-01,-0.119213741,No,non-essential
Synpcc7942_0764,ND (below stat. threshold of conf.),-0.598,"Transcriptional regulator, XRE family",N/A,2.02E-02,5.90E-02,0.105034089,No,non-essential
Synpcc7942_0765,ND (below stat. threshold of conf.),-0.292,Uncharacterized protein,N/A,3.73E-02,9.40E-02,-0.051908001,No,non-essential
Synpcc7942_0766,Negligable/minor,-0.244,DNA-damage-inducible protein,N/A,1.55E-03,6.81E-03,0.126870561,No,non-essential
Synpcc7942_0767,Negligable/minor,-0.482,Uncharacterized protein,N/A,7.71E-04,3.79E-03,-0.227914304,No,non-essential
Synpcc7942_0768,ND (below stat. threshold of conf.),-0.234,Uncharacterized protein,N/A,6.93E-03,2.41E-02,-0.530557305,No,non-essential
Synpcc7942_0769,ND (below stat. threshold of conf.),-0.097,Uncharacterized protein,N/A,3.19E-01,4.73E-01,-0.352293439,No,non-essential
Synpcc7942_0770,ND (below stat. threshold of conf.),-0.183,Uncharacterized protein,N/A,4.84E-03,1.75E-02,-0.436628706,No,non-essential
Synpcc7942_0771,Negligable/minor,-0.219,Uncharacterized protein,N/A,7.32E-04,3.63E-03,0.378900878,No,non-essential
Synpcc7942_0772,ND (below stat. threshold of conf.),-0.224,Chromophore lyase CpcT/CpeT (EC 4.-.-.-),N/A,4.39E-02,1.07E-01,0.212163075,No,non-essential
Synpcc7942_0773,ND (below stat. threshold of conf.),0.202,Uncharacterized protein,N/A,2.07E-01,3.48E-01,-0.05834242,No,non-essential
Synpcc7942_0774,Negligable/minor,0.349,Esterase,N/A,6.58E-05,4.04E-04,-0.102075923,No,non-essential
Synpcc7942_0775,Not analyzed,,hypothetical protein,N/A,,,0.145382438,No,essential
Synpcc7942_0776,Not analyzed,,farnesyl-diphosphate synthase,crtE,,,0.279082174,No,essential
Synpcc7942_0777,Not analyzed,,Methenyltetrahydrofolate cyclohydrolase,folD,,,0.009115648,No,essential
Synpcc7942_0778,Not analyzed,,hypothetical protein,N/A,,,-0.090637576,No,essential
Synpcc7942_0779,Not analyzed,,metal dependent phosphohydrolase,N/A,,,0.000954829,No,beneficial
Synpcc7942_0780,ND (below stat. threshold of conf.),-0.211,Serine/threonine protein kinase,N/A,1.09E-02,3.49E-02,-0.523727257,No,non-essential
Synpcc7942_0781,Negligable/minor,-0.260,"Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)",N/A,6.06E-08,5.76E-07,-0.635621856,No,non-essential
Synpcc7942_0782,ND (below stat. threshold of conf.),-0.069,ATPase,N/A,4.76E-01,6.19E-01,0.128580717,No,non-essential
Synpcc7942_0783,Not analyzed,,ATP phosphoribosyltransferase catalytic subunit,hisG,,,0.153623332,No,essential
Synpcc7942_0784,ND (below stat. threshold of conf.),0.073,Uncharacterized protein,N/A,6.22E-01,7.38E-01,-0.223875032,No,non-essential
Synpcc7942_0785,Negligable/minor,-0.202,Penicillin-binding protein 1A (EC 2.4.1.129),N/A,3.93E-05,2.49E-04,-0.054385156,No,non-essential
Synpcc7942_0786,ND (below stat. threshold of conf.),-0.235,Uncharacterized protein,N/A,2.63E-02,7.18E-02,0.153386593,No,non-essential
Synpcc7942_0787,ND (below stat. threshold of conf.),0.081,Putative purple acid phosphatase,N/A,2.35E-01,3.80E-01,0.019713995,No,non-essential
Synpcc7942_0788,ND (below stat. threshold of conf.),0.149,Glutathione S-transferase,N/A,5.94E-02,1.38E-01,0.244928058,No,non-essential
Synpcc7942_0789,ND (below stat. threshold of conf.),0.151,Uncharacterized protein,N/A,3.74E-01,5.25E-01,0.092830127,No,non-essential
Synpcc7942_0790,Increase,1.324,RNA-binding region RNP-1,rbp3,3.36E-10,4.06E-09,0.071023012,No,non-essential
Synpcc7942_0791,Not analyzed,,polyA polymerase,pcnB,,,0.07022425,No,essential
Synpcc7942_0792,ND (below stat. threshold of conf.),-0.141,Putative multidrug efflux MFS transporter,N/A,2.58E-02,7.08E-02,0.310703023,No,non-essential
Synpcc7942_0793,Negligable/minor,-0.373,Uncharacterized protein,N/A,1.34E-04,7.81E-04,-0.460905387,No,non-essential
Synpcc7942_0794,Not analyzed,,membrane-associated 30 kD protein-like,N/A,,,-0.416158106,No,ambiguous
Synpcc7942_0795,ND (below stat. threshold of conf.),0.154,Uncharacterized protein,N/A,2.89E-02,7.79E-02,-0.234497155,No,non-essential
Synpcc7942_0796,Not analyzed,,hypothetical protein,N/A,,,-0.30345949,No,essential
Synpcc7942_0797,Moderate decrease,-0.798,Uncharacterized protein,N/A,1.24E-03,5.61E-03,-2.512748801,Yes,non-essential
Synpcc7942_0798,Not analyzed,,Holliday junction resolvase,ruvC,,,-0.186022328,No,essential
Synpcc7942_0799,Not analyzed,,Elongator protein 3,N/A,,,-0.30841476,No,essential
Synpcc7942_0800,Not analyzed,,hypothetical protein,cpcT,,,2.051573231,No,beneficial
Synpcc7942_0801,Not analyzed,,Superoxide dismutase,"sodB, sod1",,,0.30677781,No,essential
Synpcc7942_0802,ND (below stat. threshold of conf.),-0.060,Allophycocyanin alpha chain-like,N/A,5.73E-01,7.02E-01,0.096394849,No,non-essential
Synpcc7942_0803,ND (below stat. threshold of conf.),-0.225,Uncharacterized protein,N/A,1.70E-02,5.09E-02,0.044609176,No,non-essential
Synpcc7942_0804,Not analyzed,,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,,,0.062689434,No,essential
Synpcc7942_0805,ND (below stat. threshold of conf.),0.182,Uncharacterized protein,N/A,5.01E-02,1.20E-01,0.189341657,No,non-essential
Synpcc7942_0806,ND (below stat. threshold of conf.),0.262,Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193),N/A,3.58E-03,1.40E-02,0.156109837,No,non-essential
Synpcc7942_0807,ND (below stat. threshold of conf.),-0.055,Uncharacterized protein,N/A,6.11E-01,7.32E-01,-0.630731977,No,non-essential
Synpcc7942_0808,ND (below stat. threshold of conf.),0.091,HAD-superfamily hydrolase subfamily IIB (EC 2.4.1.14),N/A,1.95E-01,3.36E-01,-0.149252297,No,non-essential
Synpcc7942_0809,ND (below stat. threshold of conf.),-0.193,Uncharacterized protein,N/A,5.67E-03,2.01E-02,0.225455785,No,non-essential
Synpcc7942_0810,ND (below stat. threshold of conf.),-0.107,Uncharacterized protein,N/A,4.28E-01,5.79E-01,0.064118584,No,non-essential
Synpcc7942_0811,Negligable/minor,0.243,Na+/H+ antiporter,N/A,2.76E-04,1.50E-03,0.297172985,No,non-essential
Synpcc7942_0812,Negligable/minor,0.312,Heat shock protein DnaJ-like,N/A,1.43E-03,6.36E-03,-0.089256325,No,non-essential
Synpcc7942_0813,Not analyzed,,ATP phosphoribosyltransferase regulatory subunit,"hisS, hisZ",,,-0.041130653,No,essential
Synpcc7942_0814,Not analyzed,,ferredoxin-like protein,N/A,,,-0.01375989,No,essential
Synpcc7942_0815,ND (below stat. threshold of conf.),-0.250,ATPase,N/A,3.25E-02,8.49E-02,0.046331866,No,non-essential
Synpcc7942_0816,ND (below stat. threshold of conf.),-0.185,Diguanylate cyclase/phosphodiesterase,N/A,1.36E-02,4.23E-02,0.136883135,No,non-essential
Synpcc7942_0817,Negligable/minor,0.450,"Putative ferric uptake regulator, FUR family",N/A,4.34E-05,2.73E-04,-0.248260476,No,non-essential
Synpcc7942_0818,Not analyzed,,phosphoribosylformylglycinamidine synthase subunit PurS,purS,,,0.173071416,No,essential
Synpcc7942_0819,Not analyzed,,phosphoribosylformylglycinamidine synthase subunit I,"purL, purQ",,,0.269135227,No,essential
Synpcc7942_0820,ND (below stat. threshold of conf.),-0.172,Uncharacterized protein,N/A,3.55E-01,5.08E-01,0.143290337,No,beneficial
Synpcc7942_0821,Moderate decrease,-0.549,Periplasmic oligopeptide-binding,N/A,2.51E-18,6.02E-17,0.047633329,No,non-essential
Synpcc7942_0822,Moderate decrease,-0.537,Permease protein of oligopeptide ABC,N/A,1.57E-11,2.15E-10,0.178573124,No,non-essential
Synpcc7942_0823,ND (below stat. threshold of conf.),0.083,Uncharacterized protein,N/A,2.36E-01,3.81E-01,0.00850216,No,non-essential
Synpcc7942_0824,ND (below stat. threshold of conf.),-0.181,Uncharacterized protein,N/A,1.53E-02,4.65E-02,-0.01315138,No,non-essential
Synpcc7942_0825,Not analyzed,,hypothetical protein,N/A,,,0.037282091,No,beneficial
Synpcc7942_0826,Negligable/minor,-0.500,Uncharacterized protein,N/A,2.20E-05,1.46E-04,0.014941859,No,non-essential
Synpcc7942_0827,Not analyzed,,cobalamin synthesis protein cobW-like,cobW,,,0.041093191,No,essential
Synpcc7942_0828,ND (below stat. threshold of conf.),-0.221,Uncharacterized protein,N/A,3.13E-01,4.66E-01,-0.078055929,No,non-essential
Synpcc7942_0829,ND (below stat. threshold of conf.),-0.385,Lipoproteins-like,N/A,4.08E-02,1.01E-01,-0.050000223,No,non-essential
Synpcc7942_0830,ND (below stat. threshold of conf.),0.072,Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase),N/A,3.40E-01,4.93E-01,-0.00470201,No,non-essential
Synpcc7942_0831,ND (below stat. threshold of conf.),-0.215,Uncharacterized protein,N/A,2.86E-02,7.74E-02,0.146293312,No,non-essential
Synpcc7942_0833,ND (below stat. threshold of conf.),-0.416,Uncharacterized protein,N/A,3.69E-02,9.36E-02,0.297846427,No,beneficial
Synpcc7942_0834,ND (below stat. threshold of conf.),-0.083,Uncharacterized protein,N/A,4.14E-01,5.67E-01,-6.137481297,Yes,non-essential
Synpcc7942_0835,Not analyzed,,Holliday junction DNA helicase B,ruvB,,,0.087324239,No,ambiguous
Synpcc7942_0836,ND (below stat. threshold of conf.),0.002,Uncharacterized protein,N/A,9.78E-01,9.86E-01,-0.138063758,No,non-essential
Synpcc7942_0837,ND (below stat. threshold of conf.),0.100,Uncharacterized protein,N/A,6.07E-01,7.29E-01,0.09768381,No,non-essential
Synpcc7942_0838,ND (below stat. threshold of conf.),-0.191,Elongator protein 3/MiaB/NifB,N/A,2.37E-02,6.67E-02,0.054020829,No,non-essential
Synpcc7942_0839,ND (below stat. threshold of conf.),-0.242,Nitrilase (EC 3.5.5.1),N/A,3.50E-03,1.37E-02,0.382462837,No,non-essential
Synpcc7942_0840,ND (below stat. threshold of conf.),0.023,Uncharacterized protein,N/A,9.42E-01,9.63E-01,1.015260155,No,non-essential
Synpcc7942_0841,ND (below stat. threshold of conf.),-0.052,Putative flavoprotein involved in K+ transport,N/A,4.81E-01,6.22E-01,0.424630222,No,non-essential
Synpcc7942_0842,ND (below stat. threshold of conf.),-0.240,NADPH-glutathione reductase (EC 1.8.1.7),N/A,5.63E-03,2.00E-02,0.175038722,No,non-essential
Synpcc7942_0843,ND (below stat. threshold of conf.),-0.073,Uncharacterized protein,N/A,5.37E-01,6.73E-01,0.090963281,No,non-essential
Synpcc7942_0844,ND (below stat. threshold of conf.),-0.029,Phosphoesterase PHP-like,N/A,8.26E-01,8.90E-01,0.102859853,No,non-essential
Synpcc7942_0845,ND (below stat. threshold of conf.),0.025,Uncharacterized protein,N/A,8.75E-01,9.23E-01,-0.292052608,No,non-essential
Synpcc7942_0846,ND (below stat. threshold of conf.),-0.023,Uncharacterized protein,N/A,7.83E-01,8.60E-01,-0.257778474,Yes,non-essential
Synpcc7942_0847,Negligable/minor,-0.215,Twitching motility protein,N/A,1.84E-03,7.91E-03,-0.720275914,Yes,non-essential
Synpcc7942_0848,Moderate decrease,-0.714,UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A),N/A,1.66E-44,1.41E-42,0.21189896,No,non-essential
Synpcc7942_0849,Not analyzed,,hypothetical protein,N/A,,,0.259842315,No,essential
Synpcc7942_0850,Not analyzed,,hypothetical protein,N/A,,,0.135864468,No,ambiguous
Synpcc7942_0851,Not analyzed,,phosphoribosylaminoimidazole synthetase,purM,,,-0.092022855,No,essential
Synpcc7942_0853,Not analyzed,,"L,L-diaminopimelate aminotransferase",dapL1,,,0.234017412,No,essential
Synpcc7942_0854,Moderate increase,0.670,Uncharacterized protein,N/A,3.83E-29,1.89E-27,-0.049073293,No,non-essential
Synpcc7942_0855,ND (below stat. threshold of conf.),0.180,Protein PatA,N/A,3.36E-01,4.89E-01,0.721380475,No,non-essential
Synpcc7942_0856,ND (below stat. threshold of conf.),0.273,Response regulator receiver domain protein (CheY-like),N/A,3.56E-01,5.08E-01,0.935013952,No,non-essential
Synpcc7942_0857,ND (below stat. threshold of conf.),0.075,CheW protein,N/A,5.72E-01,7.02E-01,0.880005041,No,non-essential
Synpcc7942_0858,ND (below stat. threshold of conf.),-0.070,Methyl-accepting chemotaxis sensory transducer with phytochrome sensor,N/A,2.31E-01,3.76E-01,0.566663073,No,non-essential
Synpcc7942_0859,ND (below stat. threshold of conf.),0.006,CheA signal transduction histidine kinase,N/A,9.32E-01,9.58E-01,0.456902529,No,non-essential
Synpcc7942_0860,ND (below stat. threshold of conf.),-0.199,CheW protein,N/A,7.30E-02,1.60E-01,0.411645613,No,non-essential
Synpcc7942_0861,Not analyzed,,bifunctional sterol desaturase/short chain dehydrogenase,N/A,,,-0.367220463,No,ambiguous
Synpcc7942_0862,Increase,1.442,Uncharacterized protein,N/A,1.34E-31,7.36E-30,-0.844786627,No,non-essential
Synpcc7942_0863,Increase,1.489,Uncharacterized protein,N/A,5.72E-38,4.12E-36,-0.000834649,No,non-essential
Synpcc7942_0864,ND (below stat. threshold of conf.),-0.609,Uncharacterized protein,N/A,1.99E-01,3.40E-01,0.243695309,No,beneficial
Synpcc7942_0865,ND (below stat. threshold of conf.),-0.097,UPF0234 protein Synpcc7942_0865,N/A,3.74E-01,5.25E-01,0.119687175,No,non-essential
Synpcc7942_0866,Negligable/minor,-0.488,Uncharacterized protein,N/A,1.08E-05,7.65E-05,0.26071957,No,non-essential
Synpcc7942_0867,ND (below stat. threshold of conf.),-0.075,Uncharacterized protein,N/A,6.99E-01,7.94E-01,0.186816695,No,non-essential
Synpcc7942_0868,ND (below stat. threshold of conf.),-0.111,Uncharacterized protein,N/A,1.02E-01,2.08E-01,0.084202356,No,non-essential
Synpcc7942_0869,Not analyzed,,hypothetical protein,N/A,,,0.097619805,No,essential
Synpcc7942_0870,Not analyzed,,hypothetical protein,N/A,,,-0.416394538,No,ambiguous
Synpcc7942_0871,Not analyzed,,hypothetical protein,N/A,,,-0.434970948,No,essential
Synpcc7942_0872,ND (below stat. threshold of conf.),0.067,Uncharacterized protein,N/A,5.69E-01,7.00E-01,-0.035441344,No,non-essential
Synpcc7942_0873,ND (below stat. threshold of conf.),-0.056,Uncharacterized protein,N/A,6.46E-01,7.55E-01,-0.443093731,No,non-essential
Synpcc7942_0874,Negligable/minor,0.322,DEAD/DEAH box helicase-like,N/A,3.76E-10,4.51E-09,-0.10666199,No,non-essential
Synpcc7942_0875,ND (below stat. threshold of conf.),0.219,Uncharacterized protein,N/A,3.35E-02,8.69E-02,0.258555652,No,non-essential
Synpcc7942_0876,Not analyzed,,alanyl-tRNA synthetase,alaS,,,0.201573749,No,essential
Synpcc7942_0877,ND (below stat. threshold of conf.),-0.103,Elongator protein 3/MiaB/NifB,N/A,4.04E-02,1.00E-01,0.114371436,No,non-essential
Synpcc7942_0878,Moderate increase,0.869,"Ribonuclease, Rne/Rng family",N/A,7.64E-09,8.13E-08,0.113069484,No,ambiguous
Synpcc7942_0879,ND (below stat. threshold of conf.),0.025,Ribonuclease HII (RNase HII) (EC 3.1.26.4),N/A,8.01E-01,8.72E-01,0.332787642,No,non-essential
Synpcc7942_0880,Negligable/minor,0.382,Uncharacterized protein,N/A,6.11E-04,3.13E-03,0.281581968,No,non-essential
Synpcc7942_0881,Not analyzed,,prephenate dehydratase,pheA,,,0.404785727,No,essential
Synpcc7942_0882,ND (below stat. threshold of conf.),-0.123,"Peptidase S16, lon-like",N/A,4.54E-01,6.02E-01,0.203922988,No,non-essential
Synpcc7942_0883,Not analyzed,,30S ribosomal protein S10,"rpsJ, rps10",,,-0.381013409,No,essential
Synpcc7942_0884,Not analyzed,,elongation factor Tu,"EF-Tu, tufA, tuf",,,-0.055341178,No,essential
Synpcc7942_0885,Not analyzed,,elongation factor G,"fus, fusA",,,0.169913503,No,essential
Synpcc7942_0886,Not analyzed,,30S ribosomal protein S7,"rps7, rpsG",,,0.18214861,No,essential
Synpcc7942_0887,Not analyzed,,30S ribosomal protein S12,"rps12, rpsL",,,-0.181195114,No,essential
Synpcc7942_0888,ND (below stat. threshold of conf.),-0.235,Mannose-1-phosphate guanylyltransferase-like,N/A,1.64E-01,2.93E-01,-0.123131857,No,non-essential
Synpcc7942_0889,Not analyzed,,hypothetical protein,N/A,,,0.007151478,No,essential
Synpcc7942_0890,Not analyzed,,glutamate synthase (ferredoxin),"glsF, gltS",,,0.226350073,No,essential
Synpcc7942_0891,ND (below stat. threshold of conf.),-0.552,Uncharacterized protein,N/A,9.77E-03,3.21E-02,-0.237343794,Yes,non-essential
Synpcc7942_0892,ND (below stat. threshold of conf.),0.203,"FO synthase subunit 1 (EC 2.5.1.77) (7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1)",N/A,2.03E-02,5.91E-02,0.288382041,No,non-essential
Synpcc7942_0893,Not analyzed,,photosystem q(b) protein,"psbAIII, psbA, psbA3, psbAII",,,0.158076047,No,not_analyzed
